satis_id,satis_tarihi,urun_id,adet,toplam_tutar,satis_durumu
1085,2025-05-18,URN-118,2,380,Tamamlandı
1086,2025-05-19,URN-101,3,2250,Tamamlandı
1087,2025-05-19,URN-110,3,3600,Tamamlandı
1088,2025-05-19,URN-109,3,1800,Tamamlandı
1089,2025-05-19,URN-109,2,1200,Tamamlandı
1090,2025-05-19,URN-103,2,360,Tamamlandı
1091,2025-05-19,URN-117,1,410,Tamamlandı
1092,2025-05-19,URN-106,3,1350,Tamamlandı
1093,2025-05-19,URN-113,3,270,Tamamlandı
1094,2025-05-19,URN-119,3,480,Tamamlandı
1095,2025-05-20,URN-124,3,2550,Tamamlandı
1096,2025-05-20,URN-124,1,850,Tamamlandı
1097,2025-05-20,URN-118,2,380,Tamamlandı
1098,2025-05-20,URN-105,2,760,Tamamlandı
1099,2025-05-20,URN-104,1,210,Tamamlandı
1100,2025-05-20,URN-105,3,1140,İade Edildi
1101,2025-05-21,URN-107,2,400,Tamamlandı
1102,2025-05-21,URN-120,3,1950,İade Edildi
1103,2025-05-21,URN-118,3,570,Tamamlandı
1104,2025-05-21,URN-113,2,180,Tamamlandı
1105,2025-05-21,URN-122,2,800,Tamamlandı
1106,2025-05-21,URN-118,1,190,Tamamlandı
1107,2025-05-21,URN-108,3,2550,Tamamlandı
1108,2025-05-21,URN-104,1,210,Tamamlandı
1109,2025-05-21,URN-112,2,560,Tamamlandı
1110,2025-05-21,URN-106,3,1350,Tamamlandı
1111,2025-05-21,URN-111,2,700,Tamamlandı
1112,2025-05-21,URN-125,2,680,İade Edildi
1113,2025-05-21,URN-123,2,440,Tamamlandı
1114,2025-05-22,URN-114,3,150,Tamamlandı
1115,2025-05-22,URN-125,3,1020,İptal Edildi
1116,2025-05-22,URN-116,3,720,İptal Edildi
1117,2025-05-22,URN-116,3,720,Tamamlandı
1118,2025-05-22,URN-126,2,1900,Tamamlandı
1119,2025-05-22,URN-106,2,900,Tamamlandı
1120,2025-05-22,URN-107,1,200,Tamamlandı
1121,2025-05-22,URN-129,3,810,Tamamlandı
1122,2025-05-22,URN-122,1,400,İptal Edildi
1123,2025-05-22,URN-125,1,340,Tamamlandı
1124,2025-05-22,URN-120,1,650,Tamamlandı
1125,2025-05-23,URN-105,3,1140,Tamamlandı
1126,2025-05-23,URN-128,1,150,Tamamlandı
1127,2025-05-23,URN-120,2,1300,İade Edildi
1128,2025-05-23,URN-117,1,410,Tamamlandı
1129,2025-05-23,URN-125,1,340,Tamamlandı
1130,2025-05-23,URN-110,2,2400,Tamamlandı
1131,2025-05-23,URN-119,2,320,Tamamlandı
1132,2025-05-23,URN-113,2,180,Tamamlandı
1133,2025-05-23,URN-105,3,1140,Tamamlandı
1134,2025-05-23,URN-124,2,1700,Tamamlandı
1135,2025-05-24,URN-108,1,850,Tamamlandı
1136,2025-05-24,URN-107,3,600,Tamamlandı
1137,2025-05-24,URN-100,1,450,Tamamlandı
1138,2025-05-24,URN-110,2,2400,Tamamlandı
1139,2025-05-24,URN-116,1,240,Tamamlandı
1140,2025-05-24,URN-121,1,320,Tamamlandı
1141,2025-05-24,URN-113,2,180,Tamamlandı
1142,2025-05-24,URN-120,3,1950,Tamamlandı
1143,2025-05-24,URN-116,3,720,Tamamlandı
1144,2025-05-24,URN-110,2,2400,Tamamlandı
1145,2025-05-24,URN-103,1,180,Tamamlandı
1146,2025-05-24,URN-105,2,760,Tamamlandı
1147,2025-05-24,URN-117,1,410,İade Edildi
1148,2025-05-24,URN-110,3,3600,Tamamlandı
1149,2025-05-24,URN-108,3,2550,İade Edildi
1150,2025-05-24,URN-119,1,160,Tamamlandı
1151,2025-05-24,URN-108,2,1700,Tamamlandı
1152,2025-05-24,URN-107,1,200,Tamamlandı
1153,2025-05-24,URN-114,3,150,Tamamlandı
1154,2025-05-24,URN-104,2,420,Tamamlandı
1155,2025-05-24,URN-103,3,540,Tamamlandı
1156,2025-05-25,URN-123,2,440,Tamamlandı
1157,2025-05-25,URN-129,3,810,Tamamlandı
1158,2025-05-25,URN-128,1,150,Tamamlandı
1159,2025-05-25,URN-119,1,160,Tamamlandı
1160,2025-05-25,URN-104,3,630,Tamamlandı
1161,2025-05-25,URN-108,3,2550,Tamamlandı
1162,2025-05-25,URN-102,2,640,Tamamlandı
1163,2025-05-25,URN-112,3,840,Tamamlandı
1164,2025-05-25,URN-124,1,850,Tamamlandı
1165,2025-05-25,URN-122,2,800,Tamamlandı
1166,2025-05-25,URN-114,2,100,Tamamlandı
1167,2025-05-25,URN-116,3,720,Tamamlandı
1168,2025-05-26,URN-118,1,190,Tamamlandı
1169,2025-05-26,URN-128,3,450,İade Edildi
1170,2025-05-26,URN-101,2,1500,Tamamlandı
1171,2025-05-26,URN-127,3,1740,Tamamlandı
1172,2025-05-26,URN-129,2,540,Tamamlandı
1173,2025-05-26,URN-120,2,1300,Tamamlandı
1174,2025-05-26,URN-108,3,2550,İptal Edildi
1175,2025-05-26,URN-101,2,1500,Tamamlandı
1176,2025-05-26,URN-129,3,810,Tamamlandı
1177,2025-05-26,URN-113,3,270,Tamamlandı
1178,2025-05-27,URN-118,1,190,Tamamlandı
1179,2025-05-27,URN-103,3,540,Tamamlandı
1180,2025-05-27,URN-100,1,450,Tamamlandı
1181,2025-05-27,URN-116,1,240,Tamamlandı
1182,2025-05-27,URN-113,1,90,Tamamlandı
1183,2025-05-27,URN-115,2,1100,Tamamlandı
1184,2025-05-27,URN-113,1,90,Tamamlandı
1185,2025-05-27,URN-122,1,400,Tamamlandı
1186,2025-05-27,URN-110,2,2400,Tamamlandı
1187,2025-05-27,URN-121,3,960,Tamamlandı
1188,2025-05-27,URN-113,2,180,Tamamlandı
1189,2025-05-27,URN-111,1,350,İptal Edildi
1190,2025-05-28,URN-117,2,820,Tamamlandı
1191,2025-05-28,URN-122,2,800,Tamamlandı
1192,2025-05-28,URN-114,3,150,Tamamlandı
1193,2025-05-28,URN-126,2,1900,Tamamlandı
1194,2025-05-28,URN-127,1,580,Tamamlandı
1195,2025-05-28,URN-102,2,640,Tamamlandı
1196,2025-05-28,URN-120,2,1300,Tamamlandı
1197,2025-05-28,URN-128,2,300,Tamamlandı
1198,2025-05-29,URN-102,2,640,Tamamlandı
1199,2025-05-29,URN-113,3,270,Tamamlandı
1200,2025-05-29,URN-104,1,210,Tamamlandı
1201,2025-05-29,URN-123,2,440,Tamamlandı
1202,2025-05-29,URN-107,3,600,Tamamlandı
1203,2025-05-29,URN-105,2,760,Tamamlandı
1204,2025-05-29,URN-114,1,50,Tamamlandı
1205,2025-05-29,URN-113,2,180,Tamamlandı
1206,2025-05-29,URN-104,2,420,Tamamlandı
1207,2025-05-29,URN-119,2,320,Tamamlandı
1208,2025-05-29,URN-105,2,760,Tamamlandı
1209,2025-05-29,URN-111,2,700,Tamamlandı
1210,2025-05-29,URN-129,2,540,Tamamlandı
1211,2025-05-29,URN-125,1,340,Tamamlandı
1212,2025-05-30,URN-123,2,440,Tamamlandı
1213,2025-05-30,URN-118,3,570,Tamamlandı
1214,2025-05-30,URN-127,2,1160,Tamamlandı
1215,2025-05-30,URN-117,1,410,Tamamlandı
1216,2025-05-30,URN-122,1,400,Tamamlandı
1217,2025-05-30,URN-115,1,550,İptal Edildi
1218,2025-05-30,URN-107,2,400,Tamamlandı
1219,2025-05-30,URN-124,1,850,Tamamlandı
1220,2025-05-30,URN-125,2,680,Tamamlandı
1221,2025-05-31,URN-123,3,660,Tamamlandı
1222,2025-05-31,URN-111,2,700,Tamamlandı
1223,2025-05-31,URN-124,1,850,İptal Edildi
1224,2025-05-31,URN-120,3,1950,Tamamlandı
1225,2025-05-31,URN-127,1,580,Tamamlandı
1226,2025-05-31,URN-119,1,160,Tamamlandı
1227,2025-05-31,URN-129,1,270,Tamamlandı
1228,2025-05-31,URN-111,3,1050,Tamamlandı
1229,2025-05-31,URN-117,2,820,Tamamlandı
1230,2025-06-01,URN-108,1,850,İade Edildi
1231,2025-06-01,URN-109,2,1200,İade Edildi
1232,2025-06-01,URN-113,2,180,İade Edildi
1233,2025-06-01,URN-107,2,400,İade Edildi
1234,2025-06-01,URN-116,1,240,Tamamlandı
1235,2025-06-01,URN-107,3,600,Tamamlandı
1236,2025-06-01,URN-123,3,660,Tamamlandı
1237,2025-06-01,URN-107,3,600,Tamamlandı
1238,2025-06-01,URN-124,1,850,Tamamlandı
1239,2025-06-01,URN-122,1,400,Tamamlandı
1240,2025-06-01,URN-107,3,600,Tamamlandı
1241,2025-06-01,URN-106,3,1350,Tamamlandı
1242,2025-06-01,URN-104,2,420,Tamamlandı
1243,2025-06-01,URN-114,1,50,Tamamlandı
1244,2025-06-01,URN-119,3,480,İptal Edildi
1245,2025-06-01,URN-112,1,280,Tamamlandı
1246,2025-06-01,URN-124,1,850,Tamamlandı
1247,2025-06-01,URN-102,3,960,Tamamlandı
1248,2025-06-01,URN-104,3,630,Tamamlandı
1249,2025-06-01,URN-107,2,400,Tamamlandı
1250,2025-06-01,URN-115,3,1650,Tamamlandı
1251,2025-06-01,URN-119,2,320,Tamamlandı
1252,2025-06-01,URN-107,2,400,Tamamlandı
1253,2025-06-01,URN-108,2,1700,Tamamlandı
1254,2025-06-01,URN-102,1,320,Tamamlandı
1255,2025-06-01,URN-120,1,650,Tamamlandı
1256,2025-06-01,URN-114,2,100,Tamamlandı
1257,2025-06-02,URN-125,2,680,İptal Edildi
1258,2025-06-02,URN-125,2,680,Tamamlandı
1259,2025-06-02,URN-107,1,200,Tamamlandı
1260,2025-06-02,URN-107,3,600,Tamamlandı
1261,2025-06-02,URN-121,2,640,Tamamlandı
1262,2025-06-02,URN-115,1,550,Tamamlandı
1263,2025-06-02,URN-101,2,1500,Tamamlandı
1264,2025-06-02,URN-100,3,1350,Tamamlandı
1265,2025-06-02,URN-105,1,380,Tamamlandı
1266,2025-06-02,URN-107,2,400,Tamamlandı
1267,2025-06-02,URN-107,3,600,Tamamlandı
1268,2025-06-02,URN-125,3,1020,Tamamlandı
1269,2025-06-02,URN-107,2,400,Tamamlandı
1270,2025-06-03,URN-107,1,200,Tamamlandı
1271,2025-06-03,URN-104,3,630,Tamamlandı
1272,2025-06-03,URN-117,2,820,Tamamlandı
1273,2025-06-03,URN-100,1,450,Tamamlandı
1274,2025-06-03,URN-107,2,400,Tamamlandı
1275,2025-06-03,URN-104,1,210,Tamamlandı
1276,2025-06-03,URN-123,1,220,Tamamlandı
1277,2025-06-03,URN-109,1,600,Tamamlandı
1278,2025-06-03,URN-108,3,2550,Tamamlandı
1279,2025-06-03,URN-104,2,420,Tamamlandı
1280,2025-06-03,URN-110,2,2400,Tamamlandı
1281,2025-06-03,URN-124,3,2550,Tamamlandı
1282,2025-06-03,URN-102,3,960,Tamamlandı
1283,2025-06-03,URN-107,3,600,Tamamlandı
1284,2025-06-04,URN-107,2,400,Tamamlandı
1285,2025-06-04,URN-103,1,180,Tamamlandı
1286,2025-06-04,URN-121,1,320,Tamamlandı
1287,2025-06-04,URN-120,2,1300,Tamamlandı
1288,2025-06-04,URN-107,2,400,İade Edildi
1289,2025-06-04,URN-102,2,640,Tamamlandı
1290,2025-06-04,URN-102,2,640,Tamamlandı
1291,2025-06-04,URN-101,2,1500,Tamamlandı
1292,2025-06-04,URN-115,2,1100,Tamamlandı
1293,2025-06-04,URN-128,1,150,Tamamlandı
1294,2025-06-04,URN-117,2,820,Tamamlandı
1295,2025-06-04,URN-128,2,300,Tamamlandı
1296,2025-06-04,URN-116,3,720,Tamamlandı
1297,2025-06-04,URN-112,2,560,Tamamlandı
1298,2025-06-04,URN-107,3,600,Tamamlandı
1299,2025-06-04,URN-122,1,400,Tamamlandı
1300,2025-06-05,URN-118,3,570,Tamamlandı
1301,2025-06-05,URN-107,1,200,Tamamlandı
1302,2025-06-05,URN-128,2,300,Tamamlandı
1303,2025-06-05,URN-119,3,480,Tamamlandı
1304,2025-06-05,URN-123,3,660,Tamamlandı
1305,2025-06-05,URN-116,2,480,Tamamlandı
1306,2025-06-05,URN-107,2,400,İade Edildi
1307,2025-06-05,URN-107,1,200,Tamamlandı
1308,2025-06-05,URN-111,3,1050,Tamamlandı
1309,2025-06-05,URN-117,3,1230,Tamamlandı
1310,2025-06-05,URN-107,3,600,Tamamlandı
1311,2025-06-05,URN-119,2,320,Tamamlandı
1312,2025-06-05,URN-115,2,1100,Tamamlandı
1313,2025-06-05,URN-107,2,400,İade Edildi
1314,2025-06-05,URN-118,2,380,Tamamlandı
1315,2025-06-05,URN-121,2,640,Tamamlandı
1316,2025-06-06,URN-105,3,1140,Tamamlandı
1317,2025-06-06,URN-113,3,270,Tamamlandı
1318,2025-06-06,URN-103,2,360,Tamamlandı
1319,2025-06-06,URN-123,1,220,Tamamlandı
1320,2025-06-06,URN-127,2,1160,Tamamlandı
1321,2025-06-06,URN-107,2,400,İade Edildi
1322,2025-06-06,URN-107,3,600,Tamamlandı
1323,2025-06-06,URN-105,2,760,Tamamlandı
1324,2025-06-06,URN-109,1,600,Tamamlandı
1325,2025-06-06,URN-107,3,600,Tamamlandı
1326,2025-06-06,URN-108,1,850,Tamamlandı
1327,2025-06-06,URN-101,3,2250,Tamamlandı
1328,2025-06-06,URN-104,3,630,İptal Edildi
1329,2025-06-06,URN-112,3,840,Tamamlandı
1330,2025-06-07,URN-108,1,850,Tamamlandı
1331,2025-06-07,URN-106,3,1350,Tamamlandı
1332,2025-06-07,URN-128,3,450,Tamamlandı
1333,2025-06-07,URN-107,3,600,Tamamlandı
1334,2025-06-07,URN-107,1,200,Tamamlandı
1335,2025-06-07,URN-120,3,1950,Tamamlandı
1336,2025-06-07,URN-101,3,2250,Tamamlandı
1337,2025-06-07,URN-129,1,270,Tamamlandı
1338,2025-06-07,URN-119,1,160,İptal Edildi
1339,2025-06-07,URN-107,1,200,Tamamlandı
1340,2025-06-07,URN-127,3,1740,Tamamlandı
1341,2025-06-07,URN-101,2,1500,Tamamlandı
1342,2025-06-07,URN-125,1,340,Tamamlandı
1343,2025-06-08,URN-120,2,1300,Tamamlandı
1344,2025-06-08,URN-111,3,1050,Tamamlandı
1345,2025-06-08,URN-119,3,480,Tamamlandı
1346,2025-06-08,URN-107,2,400,Tamamlandı
1347,2025-06-08,URN-109,1,600,Tamamlandı
1348,2025-06-08,URN-109,2,1200,Tamamlandı
1349,2025-06-08,URN-107,1,200,İade Edildi
1350,2025-06-08,URN-107,3,600,Tamamlandı
1351,2025-06-08,URN-105,2,760,Tamamlandı
1352,2025-06-08,URN-102,2,640,Tamamlandı
1353,2025-06-08,URN-128,1,150,Tamamlandı
1354,2025-06-08,URN-107,3,600,Tamamlandı
1355,2025-06-08,URN-107,2,400,Tamamlandı
1356,2025-06-08,URN-100,3,1350,Tamamlandı
1357,2025-06-08,URN-104,3,630,Tamamlandı
1358,2025-06-08,URN-129,2,540,Tamamlandı
1359,2025-06-09,URN-124,3,2550,Tamamlandı
1360,2025-06-09,URN-122,2,800,İade Edildi
1361,2025-06-09,URN-113,2,180,Tamamlandı
1362,2025-06-09,URN-122,1,400,Tamamlandı
1363,2025-06-09,URN-107,2,400,Tamamlandı
1364,2025-06-09,URN-107,3,600,Tamamlandı
1365,2025-06-09,URN-125,2,680,Tamamlandı
1366,2025-06-10,URN-121,1,320,Tamamlandı
1367,2025-06-10,URN-116,3,720,Tamamlandı
1368,2025-06-10,URN-104,3,630,Tamamlandı
1369,2025-06-10,URN-121,3,960,Tamamlandı
1370,2025-06-10,URN-112,1,280,Tamamlandı
1371,2025-06-10,URN-107,2,400,İptal Edildi
1372,2025-06-10,URN-124,3,2550,Tamamlandı
1373,2025-06-10,URN-104,3,630,Tamamlandı
1374,2025-06-10,URN-116,3,720,Tamamlandı
1375,2025-06-10,URN-117,3,1230,Tamamlandı
1376,2025-06-10,URN-101,1,750,Tamamlandı
1377,2025-06-11,URN-117,2,820,Tamamlandı
1378,2025-06-11,URN-111,2,700,Tamamlandı
1379,2025-06-11,URN-107,2,400,Tamamlandı
1380,2025-06-11,URN-102,2,640,Tamamlandı
1381,2025-06-11,URN-110,1,1200,Tamamlandı
1382,2025-06-11,URN-120,2,1300,Tamamlandı
1383,2025-06-11,URN-112,1,280,Tamamlandı
1384,2025-06-11,URN-107,1,200,Tamamlandı
1385,2025-06-11,URN-127,2,1160,Tamamlandı
1386,2025-06-12,URN-127,1,580,Tamamlandı
1387,2025-06-12,URN-129,2,540,Tamamlandı
1388,2025-06-12,URN-103,2,360,Tamamlandı
1389,2025-06-12,URN-114,2,100,Tamamlandı
1390,2025-06-12,URN-125,2,680,Tamamlandı
1391,2025-06-12,URN-100,1,450,Tamamlandı
1392,2025-06-12,URN-121,2,640,Tamamlandı
1393,2025-06-12,URN-113,2,180,Tamamlandı
1394,2025-06-12,URN-111,2,700,Tamamlandı
1395,2025-06-12,URN-104,2,420,İade Edildi
1396,2025-06-13,URN-127,1,580,Tamamlandı
1397,2025-06-13,URN-107,1,200,Tamamlandı
1398,2025-06-13,URN-122,1,400,Tamamlandı
1399,2025-06-13,URN-105,2,760,İptal Edildi
1400,2025-06-13,URN-106,3,1350,İade Edildi
1401,2025-06-13,URN-107,3,600,Tamamlandı
1402,2025-06-13,URN-107,2,400,Tamamlandı
1403,2025-06-13,URN-129,3,810,Tamamlandı
1404,2025-06-13,URN-110,3,3600,İade Edildi
1405,2025-06-13,URN-119,1,160,Tamamlandı
1406,2025-06-13,URN-121,3,960,Tamamlandı
1407,2025-06-13,URN-114,1,50,Tamamlandı
1408,2025-06-13,URN-107,3,600,Tamamlandı
1409,2025-06-14,URN-121,3,960,İptal Edildi
1410,2025-06-14,URN-119,3,480,Tamamlandı
1411,2025-06-14,URN-107,3,600,Tamamlandı
1412,2025-06-14,URN-128,3,450,Tamamlandı
1413,2025-06-14,URN-107,3,600,Tamamlandı
1414,2025-06-14,URN-110,2,2400,İade Edildi
1415,2025-06-14,URN-107,2,400,İade Edildi
1416,2025-06-14,URN-118,2,380,Tamamlandı
1417,2025-06-14,URN-127,2,1160,Tamamlandı
1418,2025-06-14,URN-114,2,100,Tamamlandı
1419,2025-06-14,URN-107,3,600,Tamamlandı
1420,2025-06-14,URN-127,3,1740,Tamamlandı
1421,2025-06-14,URN-107,3,600,Tamamlandı
1422,2025-06-14,URN-104,1,210,Tamamlandı
1423,2025-06-14,URN-117,3,1230,Tamamlandı
1424,2025-06-14,URN-103,2,360,Tamamlandı
1425,2025-06-14,URN-100,1,450,Tamamlandı
1426,2025-06-14,URN-110,2,2400,Tamamlandı
1427,2025-06-14,URN-116,1,240,İptal Edildi
1428,2025-06-15,URN-114,3,150,Tamamlandı
1429,2025-06-15,URN-108,1,850,Tamamlandı
1430,2025-06-15,URN-106,2,900,Tamamlandı
1431,2025-06-15,URN-107,2,400,Tamamlandı
1432,2025-06-15,URN-129,2,540,Tamamlandı
1433,2025-06-15,URN-110,1,1200,Tamamlandı
1434,2025-06-15,URN-120,3,1950,Tamamlandı
1435,2025-06-15,URN-120,3,1950,Tamamlandı
1436,2025-06-15,URN-115,2,1100,Tamamlandı
1437,2025-06-15,URN-107,1,200,Tamamlandı
1438,2025-06-15,URN-110,1,1200,İptal Edildi
1439,2025-06-15,URN-107,2,400,Tamamlandı
1440,2025-06-15,URN-114,2,100,Tamamlandı
1441,2025-06-15,URN-102,2,640,Tamamlandı
1442,2025-06-15,URN-118,3,570,İptal Edildi
1443,2025-06-15,URN-121,3,960,Tamamlandı
1444,2025-06-15,URN-115,1,550,Tamamlandı
1445,2025-06-15,URN-109,2,1200,İade Edildi
1446,2025-06-15,URN-126,3,2850,Tamamlandı
1447,2025-06-15,URN-118,1,190,Tamamlandı
1448,2025-06-15,URN-112,3,840,Tamamlandı
1449,2025-06-15,URN-123,1,220,İptal Edildi
1450,2025-06-16,URN-112,3,840,Tamamlandı
1451,2025-06-16,URN-118,2,380,Tamamlandı
1452,2025-06-16,URN-109,1,600,Tamamlandı
1453,2025-06-16,URN-109,2,1200,Tamamlandı
1454,2025-06-16,URN-107,3,600,Tamamlandı
1455,2025-06-16,URN-102,3,960,Tamamlandı
1456,2025-06-16,URN-129,1,270,İptal Edildi
1457,2025-06-16,URN-129,2,540,Tamamlandı
1458,2025-06-16,URN-121,3,960,Tamamlandı
1459,2025-06-16,URN-129,2,540,Tamamlandı
1460,2025-06-16,URN-118,3,570,Tamamlandı
1461,2025-06-16,URN-104,2,420,İade Edildi
1462,2025-06-16,URN-119,1,160,Tamamlandı
1463,2025-06-16,URN-110,2,2400,Tamamlandı
1464,2025-06-17,URN-107,2,400,Tamamlandı
1465,2025-06-17,URN-101,3,2250,Tamamlandı
1466,2025-06-17,URN-107,1,200,Tamamlandı
1467,2025-06-17,URN-117,1,410,Tamamlandı
1468,2025-06-17,URN-109,1,600,Tamamlandı
1469,2025-06-17,URN-129,3,810,Tamamlandı
1470,2025-06-17,URN-114,2,100,Tamamlandı
1471,2025-06-17,URN-125,3,1020,İade Edildi
1472,2025-06-18,URN-107,3,600,Tamamlandı
1473,2025-06-18,URN-113,2,180,Tamamlandı
1474,2025-06-18,URN-107,1,200,Tamamlandı
1475,2025-06-18,URN-106,1,450,Tamamlandı
1476,2025-06-18,URN-124,2,1700,Tamamlandı
1477,2025-06-18,URN-108,3,2550,Tamamlandı
1478,2025-06-18,URN-107,3,600,Tamamlandı
1479,2025-06-18,URN-124,3,2550,Tamamlandı
1480,2025-06-18,URN-107,3,600,Tamamlandı
1481,2025-06-19,URN-122,3,1200,Tamamlandı
1482,2025-06-19,URN-110,2,2400,Tamamlandı
1483,2025-06-19,URN-107,3,600,Tamamlandı
1484,2025-06-19,URN-126,3,2850,Tamamlandı
1485,2025-06-19,URN-126,2,1900,Tamamlandı
1486,2025-06-19,URN-112,2,560,Tamamlandı
1487,2025-06-19,URN-125,3,1020,Tamamlandı
1488,2025-06-19,URN-126,2,1900,Tamamlandı
1489,2025-06-20,URN-120,3,1950,Tamamlandı
1490,2025-06-20,URN-119,1,160,Tamamlandı
1491,2025-06-20,URN-107,2,400,Tamamlandı
1492,2025-06-20,URN-107,3,600,Tamamlandı
1493,2025-06-20,URN-106,1,450,Tamamlandı
1494,2025-06-20,URN-111,3,1050,İptal Edildi
1495,2025-06-20,URN-129,3,810,İade Edildi
1496,2025-06-20,URN-127,1,580,Tamamlandı
1497,2025-06-21,URN-107,1,200,Tamamlandı
1498,2025-06-21,URN-109,3,1800,Tamamlandı
1499,2025-06-21,URN-117,3,1230,Tamamlandı
1500,2025-06-21,URN-100,2,900,Tamamlandı
1501,2025-06-21,URN-100,3,1350,Tamamlandı
1502,2025-06-21,URN-103,1,180,Tamamlandı
1503,2025-06-21,URN-115,2,1100,Tamamlandı
1504,2025-06-21,URN-102,2,640,İade Edildi
1505,2025-06-21,URN-129,3,810,Tamamlandı
1506,2025-06-21,URN-103,3,540,Tamamlandı
1507,2025-06-21,URN-116,1,240,Tamamlandı
1508,2025-06-21,URN-116,1,240,Tamamlandı
1509,2025-06-21,URN-107,3,600,İptal Edildi
1510,2025-06-21,URN-125,1,340,Tamamlandı
1511,2025-06-21,URN-126,1,950,Tamamlandı
